reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
relaaaaxx,Struttura estremamente accogliente e personale gentilissimo pronto a soddisfare ogni esigenza. Per chi è in cerca di vero relax risulta essere il posto ideale. Comodità e tranquillità le fanno da padrona. Grazie di tutto !,Date of stay: August 2020,Hotel Parco delle Rose,4,"Silvi Marina, Italy"
lovely bakery :),"Elena and her husband were super friendly, lovely persons and so committed to their job. They offered us some tasty pastry and I couldn’t resist from buying an entire bougatsa from them to bring home ...everyone was very delighted from it ! Please try it if you go to the shop ! Thank you very much for everything, wish you the best for you and your excellent bakery :)",Date of visit: July 2020,Elena's Bakery & Cafe,4,"Zakynthos, Greece"
Personale e cibo TOP,"Grandissima cortesia del personale, disponibilissimo, cordiale, super attento e piacevolmente socievole :) cibo super, purtroppo siamo riusciti ad assaggiare solo piatti di carne, ma erano comunque eccelsi ! super consigliato",Date of visit: January 2020,Braceria Tiffany,4,"Macerata, Italy"
fresh fish and great staff,"Amazing food and so welcoming staff. Nice and fresh fish, absolutely recommended ! Best if booked in advance, but service
is still quite fast.",Date of visit: June 2019,Kastella,4,"Crete, Greece"
Eccellente servizio e cortesia,"In seguito a passate esperienze positive presso questo locale, ho deciso di affidare loro l'organizzazione di un buffet per la mia laurea. Tutto è andato come previsto senza sorpresa alcuna, cibo di elevata qualità, ambienti ampi e vivibili, servizio celere e cortese e, soprattutto, ospiti alquanto soddisfatti del servizio. Da sottolineare la gentilezza ( e la comprensione, data la particolarità del giorno ) della responsabile con la quale ho avuto il piacere di interfacciarmi. Una piacevole conferma.",Date of visit: November 2018,StammiBene,4,"Bari, Italy"
Eccellenza al fine dell'accoglienza,"Prima volta presso questo ristorante di assoluto livello nel cuore pulsante della città vecchia, con la certezza che ne seguiranno altre. Personale estremamente cortese quanto professionale, ha certamente contribuito a suggellare al meglio una giornata di festa quale quella odierna. Ambiente climatizzato con piacevoli spazi e sedute, vede la maestria dello chef Daniele Caldarulo e l'estrema qualità delle materie prime farsi largo in una cucina moderna che al meglio esalta i prodotti della nostro mare, tutti rigorosamente freschissimi. Molto buoni anche i dolci; nota di merito per la cucina a vista e l'attenzione al cliente che lo chef ed il suo staff riservano. Sicuramente una piacevole realtà ( e scoperta ) nella mia Bari.",Date of visit: August 2018,Black & White,4,"Bari, Italy"
Squisitezza culinaria ed umana,"Ristorante immerso nel centro storico, vede in cucina la magistrale Bina preparare dei piatti estremamente genuini e squisiti, anche in virtù dei prodotti utilizzati ( rigorosamente della nostra terra ). L’elegante location e la piacevolissima accoglienza e gentilezza del sig. Nino completano l’opera: per alcuni una scoperta, per me una conferma ( e garanzia ).",Date of visit: July 2018,Bina Ristorante di Puglia,4,"Locorotondo, Italy"
A must do on the island !,"I made the boat trip today and all I can say is that is definitely a MUST-DO thing ! The view was stunning and eating such fresh fish ( it was literally fish to the grill ) is a unique experience so difficult to replicate anywhere; also looking at the guys using those long nets was hypnotizing. Plus, the lovely Anthi, the captain, was so charming and welcoming with all us guests, such a nice, smart and strong girl. It was the right conclusion to my vacation on this beautiful island which is Santoríni.",Date of experience: September 2017,Giorgaros fishing tours Santorini,4,"Santorini, Greece"
Top quality,"As an italian, I tend to be so demanding about pizza and italian food in general, but I have to happily admit that everything was so brilliant and tasty ! The way they make pizza and the recipes surprised me so much, excellent. Not to mention the guys who actually work there, so friendly and polite. Everything was so fresh and so italian. Also innovative thanks to a new way of conceiving pizza...just quality.",Date of visit: January 2017,Radio Alice,4,"London, United Kingdom"
The meaning of hospitality,"Been in Kamari for 5 days, and discovering Eanos was one of the greatest thing here. Mike and his family had been really kind and welcoming to me and my family every day, that's what I call paying attention to the customers. They gave us sunbeds and cooked for us fresh and tasty fish almost every day at an honest price. Nothing more to say. Highly recommended, we just hope to be back soon in Kamari to enjoy all of this again.",Date of visit: July 2016,Eanos Restaurant,4,"Santorini, Greece"
Everything was amazing. Remarkable,"Thanks to an hint from a local, I went to Pinakio with my family. Never had a better tip. The dishes were typical and absolutely amazingly cooked, the flavors really surprised me: strong but delicate at the same time. Lot of variety inside the menu. Very fast service and really kind waiters. Highly recommended !",Date of visit: July 2016,To Pinakio,4,"Santorini, Greece"
Libidine !,"Siamo stati presso il ristorante a pranzo: accolti e serviti con grande professionalità e gentilezza unica. Per non parlare dei piatti ! Curati nel minimo dettaglio, dall'impiattamento alla preparazione, sapori esplosivi per un'esperienza da ripetere. Consigliato a tutti gli amanti del VERO sushi !",Date of visit: November 2015,Hagakure -Tatami Yakiniku & Sushi,4,"Bari, Italy"
